iter	Passed	Remaining
0	2	1464
1	4	1705
2	7	1671
3	11	1949
4	16	2264
5	19	2285
6	22	2272
7	26	2260
8	28	2171
9	30	2099
10	32	2044
11	34	1997
12	37	1966
13	39	1936
14	41	1895
15	43	1856
16	50	2042
17	54	2077
18	58	2102
19	60	2069
20	62	2031
21	64	1983
22	66	1952
23	68	1917
24	70	1897
25	72	1886
26	74	1851
27	75	1818
28	77	1800
29	81	1810
30	83	1799
31	84	1769
32	86	1740
33	87	1716
34	88	1689
35	90	1662
36	91	1637
37	92	1616
38	94	1594
39	95	1573
40	96	1554
41	98	1535
42	99	1516
43	101	1507
44	103	1502
45	104	1484
46	105	1465
47	106	1447
48	107	1428
49	108	1411
50	109	1394
51	110	1379
52	111	1364
53	112	1351
54	113	1336
55	115	1323
56	116	1311
57	117	1299
58	119	1293
59	120	1281
60	121	1268
61	122	1258
62	123	1246
63	124	1238
64	125	1227
65	126	1219
66	128	1212
67	129	1203
68	130	1193
69	131	1184
70	132	1176
71	134	1172
72	136	1169
73	137	1165
74	138	1157
75	140	1152
76	141	1147
77	142	1139
78	144	1139
79	145	1131
80	147	1123
81	148	1116
82	149	1109
83	150	1102
84	152	1100
85	153	1093
86	154	1086
87	155	1078
88	156	1072
89	157	1066
90	158	1063
91	160	1058
92	161	1052
93	162	1045
94	163	1039
95	164	1034
96	166	1032
97	167	1026
98	168	1020
99	169	1015
100	170	1010
101	171	1004
102	172	1001
103	173	996
104	175	991
105	176	986
106	177	982
107	178	977
108	180	978
109	181	976
110	183	974
111	185	972
112	187	974
113	189	973
114	190	971
115	192	968
116	194	968
117	195	966
118	197	964
119	201	971
120	202	970
121	204	968
122	206	966
123	208	970
124	210	967
125	215	983
126	218	987
127	226	1010
128	228	1011
129	241	1060
130	244	1061
131	247	1066
132	249	1065
133	256	1083
134	258	1080
135	261	1083
136	263	1083
137	269	1098
138	272	1097
139	274	1097
140	276	1098
141	279	1097
142	283	1103
143	285	1101
144	287	1099
145	290	1102
146	295	1112
147	299	1117
148	303	1122
149	306	1124
150	309	1123
151	312	1125
152	314	1123
153	317	1124
154	318	1120
155	321	1121
156	323	1118
157	325	1117
158	327	1113
159	328	1109
160	332	1112
161	333	1108
162	335	1106
163	338	1106
164	341	1108
165	343	1104
166	345	1103
167	347	1100
168	348	1095
169	349	1090
170	351	1087
171	352	1083
172	354	1078
173	358	1082
174	359	1079
175	361	1076
176	372	1099
177	375	1102
178	377	1098
179	379	1095
180	383	1098
181	388	1105
182	390	1103
183	392	1100
184	393	1096
185	395	1092
186	396	1087
187	397	1082
188	398	1078
189	399	1073
190	401	1069
191	402	1065
192	404	1062
193	405	1057
194	406	1053
195	407	1049
196	409	1044
197	410	1040
198	411	1035
199	412	1031
200	413	1027
201	414	1022
202	415	1017
203	416	1013
204	417	1009
205	419	1005
206	420	1001
207	421	996
208	422	992
209	423	988
210	424	984
211	425	980
212	426	975
213	427	971
214	428	967
215	430	963
216	431	959
217	432	955
218	433	951
219	434	947
220	437	947
221	441	949
222	445	952
223	447	950
224	449	948
225	452	948
226	455	948
227	457	947
228	460	947
229	462	945
230	465	944
231	467	943
232	470	942
233	471	939
234	473	936
235	474	933
236	477	932
237	478	929
238	480	927
239	482	924
240	483	920
241	484	917
242	486	914
243	487	911
244	489	908
245	490	905
246	492	903
247	494	901
248	497	901
249	499	899
250	501	897
251	503	895
252	505	893
253	506	889
254	507	886
255	508	882
256	510	879
257	511	875
258	512	872
259	513	869
260	514	866
261	516	862
262	519	862
263	521	861
264	526	864
265	530	865
266	533	865
267	535	862
268	537	861
269	539	859
270	541	857
271	542	854
272	544	851
273	545	848
274	546	845
275	548	842
276	549	839
277	551	836
278	552	833
279	553	830
280	554	826
281	556	824
282	558	823
283	560	820
284	561	818
285	563	815
286	564	811
287	565	809
288	566	805
289	568	803
290	570	801
291	573	801
292	575	798
293	576	795
294	577	792
295	579	790
296	581	788
297	582	785
298	583	782
299	584	779
300	586	777
301	588	774
302	589	772
303	591	771
304	593	769
305	594	766
306	596	763
307	597	760
308	598	757
309	601	756
310	603	754
311	609	758
312	613	757
313	616	758
314	618	756
315	622	756
316	624	754
317	625	751
318	626	748
319	628	746
320	630	744
321	631	741
322	634	740
323	637	739
324	638	736
325	639	734
326	641	731
327	642	728
328	644	726
329	646	724
330	648	722
331	652	723
332	655	721
333	656	719
334	659	718
335	660	715
336	662	713
337	666	714
338	668	712
339	670	710
340	672	708
341	675	706
342	677	705
343	682	706
344	686	706
345	689	705
346	693	705
347	698	706
348	701	705
349	705	705
350	709	704
351	710	702
352	714	702
353	716	700
354	724	704
355	728	703
356	731	702
357	735	702
358	740	703
359	743	701
360	747	702
361	750	700
362	752	698
363	754	696
364	755	693
365	757	691
366	760	689
367	762	687
368	765	686
369	767	684
370	768	681
371	769	678
372	772	677
373	776	677
374	781	677
375	785	677
376	816	699
377	818	696
378	821	695
379	851	716
380	852	714
381	856	713
382	858	710
383	859	707
384	861	704
385	862	701
386	864	698
387	882	709
388	886	708
389	890	707
390	892	705
391	895	703
392	898	701
393	899	698
394	902	697
395	904	694
396	906	691
397	907	688
398	908	685
399	910	682
400	925	689
401	928	688
402	931	686
403	933	683
404	934	680
405	936	677
406	938	675
407	939	672
408	940	669
409	941	666
410	942	663
411	944	660
412	946	657
413	948	655
414	949	652
415	950	649
416	952	646
417	953	643
418	954	640
419	955	637
420	957	634
421	959	632
422	962	630
423	966	629
424	967	626
425	968	623
426	971	620
427	972	618
428	973	615
429	975	612
430	977	610
431	979	607
432	980	604
433	981	601
434	982	598
435	983	595
436	985	593
437	986	590
438	987	587
439	991	585
440	992	582
441	993	579
442	994	577
443	995	574
444	997	571
445	998	568
446	999	565
447	1001	563
448	1002	560
449	1005	558
450	1007	556
451	1008	553
452	1009	550
453	1011	548
454	1012	545
455	1014	542
456	1015	539
457	1018	537
458	1019	535
459	1020	532
460	1021	529
461	1022	526
462	1023	524
463	1025	521
464	1026	518
465	1027	516
466	1029	513
467	1032	511
468	1033	509
469	1035	506
470	1036	503
471	1038	501
472	1039	498
473	1040	496
474	1041	493
475	1043	491
476	1047	489
477	1048	486
478	1049	484
479	1050	481
480	1052	479
481	1053	476
482	1055	474
483	1056	471
484	1059	469
485	1061	467
486	1063	465
487	1067	463
488	1069	461
489	1071	459
490	1074	457
491	1077	455
492	1078	452
493	1079	450
494	1081	447
495	1082	445
496	1084	442
497	1086	440
498	1088	438
499	1090	436
500	1093	434
501	1097	433
502	1099	430
503	1102	428
504	1106	427
505	1108	424
506	1109	422
507	1111	420
508	1112	417
509	1114	415
510	1116	412
511	1117	410
512	1121	408
513	1123	406
514	1124	403
515	1125	401
516	1127	399
517	1130	397
518	1131	394
519	1134	392
520	1135	390
521	1136	387
522	1139	385
523	1140	383
524	1141	380
525	1142	377
526	1143	375
527	1145	373
528	1146	370
529	1148	368
530	1150	366
531	1151	363
532	1153	361
533	1154	358
534	1155	356
535	1156	353
536	1157	351
537	1159	349
538	1160	346
539	1162	344
540	1164	342
541	1165	339
542	1166	337
543	1168	334
544	1169	332
545	1170	330
546	1172	327
547	1173	325
548	1174	323
549	1176	320
550	1178	318
551	1180	316
552	1181	314
553	1182	311
554	1184	309
555	1185	306
556	1186	304
557	1187	302
558	1188	299
559	1190	297
560	1192	295
561	1193	293
562	1194	290
563	1196	288
564	1197	286
565	1198	283
566	1199	281
567	1200	278
568	1201	276
569	1203	274
570	1206	272
571	1208	270
572	1210	268
573	1212	266
574	1213	263
575	1215	261
576	1216	259
577	1218	257
578	1219	254
579	1221	252
580	1222	250
581	1223	248
582	1225	245
583	1226	243
584	1227	241
585	1228	239
586	1230	236
587	1233	235
588	1235	232
589	1236	230
590	1237	228
591	1239	226
592	1240	223
593	1241	221
594	1242	219
595	1243	217
596	1245	214
597	1246	212
598	1248	210
599	1250	208
600	1252	206
601	1254	204
602	1261	202
603	1264	201
604	1267	199
605	1268	196
606	1269	194
607	1270	192
608	1272	190
609	1273	187
610	1276	185
611	1277	183
612	1279	181
613	1280	179
614	1282	177
615	1283	174
616	1284	172
617	1285	170
618	1286	168
619	1288	166
620	1291	164
621	1293	162
622	1294	160
623	1296	157
624	1297	155
625	1299	153
626	1301	151
627	1303	149
628	1305	147
629	1306	145
630	1308	143
631	1310	141
632	1311	138
633	1312	136
634	1314	134
635	1315	132
636	1318	130
637	1319	128
638	1321	126
639	1322	123
640	1323	121
641	1325	119
642	1326	117
643	1327	115
644	1328	113
645	1330	111
646	1333	109
647	1334	107
648	1335	104
649	1336	102
650	1338	100
651	1339	98
652	1341	96
653	1343	94
654	1344	92
655	1349	90
656	1350	88
657	1352	86
658	1354	84
659	1355	82
660	1356	80
661	1358	77
662	1359	75
663	1360	73
664	1363	71
665	1364	69
666	1366	67
667	1367	65
668	1369	63
669	1370	61
670	1371	59
671	1372	57
672	1373	55
673	1375	53
674	1377	51
675	1379	48
676	1380	46
677	1381	44
678	1383	42
679	1384	40
680	1386	38
681	1388	36
682	1389	34
683	1391	32
684	1393	30
685	1394	28
686	1397	26
687	1398	24
688	1399	22
689	1401	20
690	1403	18
691	1407	16
692	1408	14
693	1410	12
694	1412	10
695	1413	8
696	1414	6
697	1416	4
698	1418	2
699	1421	0
